date,hour,type,1010A
20220210,3,PM2.5,51
20220210,4,PM2.5,65
20220210,5,PM2.5,59
20220210,6,PM2.5,50
20220210,7,PM2.5,54
20220210,8,PM2.5,63
20220210,9,PM2.5,63
20220210,10,PM2.5,67
20220210,11,PM2.5,63
20220210,12,PM2.5,60
20220210,13,PM2.5,57
20220210,14,PM2.5,54
20220210,15,PM2.5,54
20220210,16,PM2.5,52
20220210,17,PM2.5,49
20220210,18,PM2.5,47
20220210,19,PM2.5,50
20220210,20,PM2.5,56
20220210,21,PM2.5,54
20220210,22,PM2.5,52
20220210,23,PM2.5,51
20220211,0,PM2.5,50
20220211,1,PM2.5,53
20220211,2,PM2.5,54
20220211,3,PM2.5,51
20220211,4,PM2.5,52
20220211,5,PM2.5,55
20220211,6,PM2.5,45
20220211,7,PM2.5,36
20220211,8,PM2.5,32
20220211,9,PM2.5,30
20220211,10,PM2.5,15
20220211,11,PM2.5,11
